College Quad,0.09514691,0.13530582,-0.10027507,0.064078525,0.063226,-0.00076333806,-0.03476402,-0.0052296463,-0.038436487,0.14595291,-0.13073052,0.009655486,0.10213183,-0.046108603,-0.06174526,-0.16944739,0.004664629,-0.051864557,0.0038170405,-0.014829939
Mediterranean Restaurant,-0.008227283,-0.027151018,-0.05176772,-0.06384929,-0.116089866,0.053389423,-0.15745875,-0.04213666,0.015341176,-0.06870323,0.13094582,-0.029957777,0.07751433,-0.015709179,-0.081433736,0.05880729,0.12429002,0.06702422,0.07352919,0.033156477
Mongolian Restaurant,0.03015291,-0.035937056,0.00038062083,-0.046811245,0.046770927,-0.053161174,-0.0147296935,0.0019274708,-0.041133747,0.032174885,0.01500844,0.0357558,0.12449615,0.03502849,-0.10584524,0.09837374,-0.013013514,0.02599928,-0.033809572,-0.012892121
Art Museum,0.10298854,-0.09177475,0.00987188,0.03320262,0.11416989,0.13454129,0.036301844,0.05328588,0.05105364,-3.4465455e-05,0.120580606,0.09376091,-0.06712218,-0.11044295,-0.0062936507,-0.0665403,0.18398881,-0.10136616,-0.01110925,0.017236114
Professional & Other Places,-0.054984402,-0.059532274,0.021243064,0.062178474,0.09839804,-0.0073920293,0.15331419,0.08943161,0.040935148,0.11582844,0.01825709,0.06785033,0.034243904,-0.05041892,-0.049242146,0.11151988,-0.010067177,-0.05714895,0.035046265,-0.06820932
Football Stadium,0.15773147,-0.02485856,-0.05288767,0.0067751147,0.15616202,0.054892182,0.09612824,-0.047063228,-0.0073532676,0.07963501,-0.07647922,0.036720514,-0.020282507,0.0013383254,0.024759268,-0.15440953,0.07196671,0.0031883863,-0.045603883,-0.0034393133
Smoke Shop,-0.011294685,0.016204458,-0.11658647,-0.15491775,0.06467514,0.05791791,-0.06940475,-0.11560285,0.057480056,-0.042533815,0.10907653,-0.01639997,-0.087337404,-0.03902406,0.009371372,-0.009419538,0.038986325,0.010800319,0.15925252,0.06743437
College Arts Building,0.043640792,0.13164662,-0.13466206,0.08105508,-0.054802656,0.059524547,-0.04851649,-0.00019073673,0.09952037,-0.00699142,-0.0012167543,0.069707334,-0.026242157,-0.08425422,-0.073751755,-0.116390765,-0.023725389,-0.076819494,0.054095533,0.011329467
Building,-0.07481613,-0.04589653,0.028244102,0.0532308,0.07670611,-0.027250372,0.18208075,0.05158004,0.03344657,0.098645255,-0.04130058,0.042979494,-0.019992786,0.021993797,0.0007644184,0.05575513,-0.045334946,-0.017775886,-0.005591478,-0.019096242
African Restaurant,0.038303684,0.004610717,0.008093858,-0.18033609,0.03961949,-0.016621027,-0.06039813,0.042473305,-0.098133944,0.020138863,0.06185652,-0.08043988,0.12218554,-0.037787437,-0.1777651,0.0072476296,0.09117271,0.0016088611,0.00800862,-0.066734314
