College Quad,-0.048550155,0.07381359,0.02974134,0.10964598,0.026682075,0.014473824,0.014543738,0.061515346,-0.040802233,0.03434047,0.02750033,-0.04037167,0.016609289,-0.072576344,0.0067705046,-0.047980685,-0.005509704,0.027165212,-0.062678255,-0.021175057,-0.0064974483,-0.0035247384,0.058739867,-0.06686926,-0.02510217,0.081791714,-0.00680344,0.013537399,0.06029897,-0.0010675103,0.0043400843,-0.0067729377,-0.04916047,-0.06742905,0.023462297,-0.0030402457,0.049032513,-0.089713335,0.07264355,-0.09639111,0.047179516,0.037354615,0.09443165,-0.017226513,-0.10282084,-0.0039393026,-0.0004781317,-0.10953733,0.00027321838,-0.044641905,-0.111620754,-0.01903807,0.026010815,-0.06679461,-0.014344638,0.050057597,-0.02280872,-0.03676711,-0.05673835,-0.032685433
Mediterranean Restaurant,0.013533162,0.09843218,-0.007964595,-0.025976095,0.027911989,-0.010845114,-0.0015861886,0.0044993088,0.018591054,-0.01451484,-0.062471822,0.009298077,-0.06227546,0.008860894,0.040479857,-0.06190946,-0.024267662,0.008128033,0.029805806,-0.009956339,0.083690315,-0.024221294,0.088260695,-0.05897136,-0.05073921,0.052413803,-0.0049307337,-0.06961897,-0.002185136,0.015811905,0.02291438,0.05829189,0.02154203,-0.09564591,-0.08442478,0.014195462,-0.08446715,0.03254553,-0.036169205,-0.04569228,0.17252542,-0.02080582,-0.01590361,-0.04363104,-0.09431793,0.070465,0.014441982,-0.003014654,0.03769841,0.016241228,-0.00053192547,0.039590586,0.09409605,-0.005465001,-0.023277726,0.04534643,-0.042680517,0.039486066,0.022937745,0.019614436
Art Museum,-0.07610141,-0.0028381203,-0.025191812,0.087794796,-0.013059178,0.046059795,0.008491779,0.019526534,0.02565863,-0.03183975,-0.018604012,0.025346821,0.011881786,-0.012779618,0.020134179,0.012932747,-0.056657054,0.048331287,-0.09138982,-0.035273276,0.021740599,0.0047162683,-0.014875219,-0.03010438,0.09085884,0.0033511831,-0.046759687,-0.046842694,-0.014138365,0.048450373,0.05029932,-0.0064797215,0.077905715,-0.0046807285,-0.022804426,0.02829156,-0.010000742,0.07156509,0.031818185,-0.13817301,0.04089176,-0.06444141,0.043961607,-0.07810801,-0.05309079,0.097021125,0.011886495,0.008471948,0.019055227,-0.029292386,-0.022733146,0.06335156,0.030526172,-0.0095208585,0.02766143,0.0074119726,-0.069436766,-0.020310527,0.025433961,0.003920089
Professional & Other Places,0.009307966,0.01254482,0.001166621,-0.010883655,-0.009340711,-0.03326918,-0.0035207386,-0.03105938,-0.03815042,-0.0005345365,0.020411875,0.05931156,-0.020254573,0.03927838,-0.007719049,-0.0042954786,0.008307489,-0.03766068,-0.016555713,-0.03874883,0.0061086104,0.123257585,-0.0231422,-0.038553596,-0.06673102,-0.070022956,0.037327684,-0.0026169666,-0.01045618,0.00081152125,-0.006110483,-0.026501114,-0.08516977,0.028398952,0.010800401,-0.0100905,0.0059677316,-0.009700478,0.007463482,0.08861237,-0.00713044,-0.03073063,-0.020430373,-0.019656774,0.004272099,0.025263678,-0.005122374,-0.047128644,0.009180485,-0.039893024,-0.023729738,0.033999395,-0.004640639,0.035704814,0.00034519224,-0.05253116,0.005267168,0.065603636,-0.070283756,0.0105195325
Football Stadium,-0.0024703322,0.04785377,0.012884995,0.017282812,-0.017455585,-0.043454356,0.06917704,0.0043257964,-0.032327186,-0.016977321,0.013853074,-0.027095431,-0.031496204,0.0020147688,0.012889462,0.0126724765,0.026186666,-0.027308064,0.02493617,-0.08225486,0.07568464,0.03295317,-0.028981034,-0.046740536,-0.060836263,-0.07154724,-0.06526744,0.008414721,-0.0006211214,0.0379454,-0.04241804,0.006852104,0.008071389,-0.005445443,-0.028294012,-0.011152096,0.044087,0.023543287,-0.085287094,0.049235925,0.023733204,-0.0026922766,-0.007964581,0.023307886,0.036954597,0.03741831,-0.047513645,-0.022275154,-0.013208087,-0.032576546,-0.0043253275,-0.0654972,0.020064376,-0.00080493186,-0.0269263,0.028993567,-0.05119361,0.040332593,-0.015177371,-0.00037334114
Smoke Shop,-0.0046055056,-0.021150693,-0.015321858,0.049225744,0.042911746,-0.023406332,-0.065512635,0.027879987,-0.022808965,-0.014154682,0.012268182,-0.017453173,-0.036983468,-0.049377717,0.0886023,-0.047642265,-0.113137975,-0.042663444,-0.0005361177,-0.0140409935,0.007128751,0.009486062,0.09721525,-0.0536762,-0.019887142,0.07348808,0.0056567593,-0.0044594994,0.047745332,-0.0023786915,-0.011139349,-0.0014736118,-0.09747287,-0.0506555,0.01316368,0.01378832,-0.04440917,0.025395354,0.023956418,-0.05622382,0.00022319332,0.0029518604,0.021199087,-0.06326553,-0.09649174,-0.0094520245,0.037192523,-0.06343402,0.08915387,-0.03823916,-0.017257445,0.017811935,0.029663537,0.03616211,-0.01985592,0.12435454,0.015919263,-0.0065937256,-0.011707779,-0.002565124
College Arts Building,-0.044634193,0.06050039,-0.017462488,0.02331464,0.04143236,0.0057386346,0.02382593,0.040665783,-0.041947655,0.040475946,-0.008919887,-0.01312738,-0.04963982,-0.031747885,-0.023259439,-0.03382127,-0.030772593,-0.007792197,0.019856632,0.056450542,-0.038185198,-0.06420026,0.04072644,-0.055234842,-0.003517095,0.03265077,-0.02906174,-0.022565112,0.028948605,0.008739129,0.04095009,0.025867775,-0.023649028,-0.058974184,-0.009981168,0.056257498,-0.028599968,-0.05296019,0.02806478,-0.10266579,0.07949073,0.059302934,0.029646896,0.03206522,-0.09417812,0.03916631,0.0052619837,-0.045839798,0.0072800084,0.021170653,-0.07446458,-0.005711174,0.073327124,-0.020709261,-0.054321837,0.05043428,-0.00036475877,-0.005150103,-0.020570036,0.04530814
Building,0.020112814,0.008807938,0.007574953,-0.023568379,0.027294857,-0.03361907,-0.008303747,-0.012149432,-0.01617218,-0.017162219,0.036472507,0.023616288,0.0026421463,0.022129197,-0.015673269,-0.0035990595,-0.004208078,-0.020955458,-0.0119194,-0.007430258,0.0043886807,0.06269234,-0.060810577,-0.012717781,-0.04947798,0.028541073,0.040955435,0.015334678,-0.041980553,0.0058792927,-0.008298263,-0.014315126,-0.03654796,0.014712343,0.04523075,-0.05899773,0.018286726,-0.0103276195,0.003463517,0.06882664,-0.05734398,-0.00083454326,-0.027420577,0.010002418,0.0054297643,0.017078688,-0.0030110828,-0.017567795,0.0012505751,-0.0121932095,0.03260053,0.048367143,-0.05629854,0.03334985,-0.006768293,-0.03627436,0.02428861,0.03368292,-0.051163204,-0.017780954
College Rec Center,-0.015153781,0.16116531,0.04233197,0.05054599,0.050624356,-0.0094088875,0.0487985,0.010821494,-0.12749404,0.06581681,0.040810466,0.0605151,-0.030947503,-0.034344397,-0.0409468,-0.05027213,0.014935224,-0.004032603,-0.00027385727,0.0052109696,-0.020153053,-0.026396956,0.028000478,0.015042115,-0.027498305,0.04493425,0.021024073,0.025884686,0.033824567,-0.025997568,-0.010013254,-0.016345304,-0.06267312,-0.038942076,0.032564975,0.0014435435,-0.0036371257,-0.07665807,0.024702974,-0.037761357,0.03502866,0.03299681,0.039112538,-0.0038445417,-0.072518855,0.0030163256,0.0452509,-0.035681903,-0.026074426,-0.07311572,-0.13025202,-0.03518895,0.0137749035,-0.04605031,-0.043936998,-0.0059040776,-0.0095544495,0.035179704,-0.04182641,0.059782203
Paper / Office Supplies Store,0.04534352,0.021322535,-0.059582375,-0.00023557944,-0.066783436,0.027785758,0.011855984,-0.03900514,-0.030809142,0.031002551,0.04145228,0.011085791,-0.0145392055,-0.032351952,0.077185854,-0.07455779,0.002775623,-0.056682926,-0.022045579,-0.0038887293,0.05163987,0.047725827,0.0670947,0.08409487,0.03529361,-0.075857475,0.018481743,-0.028762488,0.08917678,-0.029762622,-0.009247174,-0.003184058,-0.04912357,-0.15037791,0.034048874,-0.022986291,0.029947212,0.17027622,0.03060124,-0.015235717,0.011095846,-0.024842365,-0.059443418,-0.039612863,0.010409988,-0.026127543,0.041233823,-0.041684605,0.039742887,-0.055116836,-0.024307335,0.018119363,0.09918393,-0.016921379,0.017334282,0.055180594,-0.04210704,0.0034640823,0.023798479,-0.074991524
