College Quad,-0.08972691,0.021469766,-0.084115535,-0.05340071,0.026284944,0.049727082,-0.0084496625,0.1035303,-0.083084546,0.011182126,0.046363346,-0.058130298,0.021315372,-0.041902594,-0.054473497,-0.26432675,0.03416826,-0.10467611,-0.12760036,-0.069905005,0.0014877114,0.074773885,-0.13484469,-0.029334499,0.037166927,0.03162333,-0.026433717,0.17479637,0.07969929,0.06265081,-0.060941823,0.052457444,0.010063451,-0.046403635,-0.044126853,0.08265793,-0.024767842,0.028001804,0.049546324,0.0098387785,0.01963895,0.05974402,-0.03714038,-0.09286923,-0.030796435,-0.009518921,0.08453875,0.06803144,-0.046834283,-0.04433418,-0.06680233,-0.04853434,0.043229274,0.03613148,0.078657135,-0.14494608,0.019771174,-0.09414871,0.16244298,-0.10701156,-0.0040778695,-0.099413484,-0.15572825,-0.11897946,0.014400648,-0.07217527,0.06419941,0.08644073,0.0031674341,-0.0120068705,-0.0068912385,0.054093357,-0.020965945,-0.0022944547,0.14238991,-0.118331335,0.13042068,-0.0066457237,-0.02823488,-0.008797165
Mediterranean Restaurant,0.03249522,-0.038109414,-0.09102974,-0.07839984,-0.043324307,0.13491169,-0.06323576,-0.0023746286,-0.07942663,0.0123552,-0.027142812,-0.027513813,-0.015877398,0.01702233,0.035097364,-0.08525065,-0.035228997,0.0501075,0.00090324273,-0.002153391,-0.01678049,0.08580154,-0.079904795,-0.063197516,-0.016335484,0.034929454,-0.07593137,0.0014195037,-0.0019640867,0.12342815,-0.038784206,-0.015333922,0.06342191,0.028192824,0.10479288,-0.11622979,0.029581062,0.14782333,0.1654248,-0.039624408,0.040815674,-0.012996322,-0.0077649998,0.055128276,-0.0050291345,0.017789867,0.019817103,-0.03428173,0.04432769,0.06161855,-0.032875866,-0.036545448,-0.064930506,-0.11312032,0.013652958,-0.12707976,0.07067993,0.10185939,-0.17920406,-0.01147514,0.002565616,-0.057644274,0.054906458,0.1184265,-0.0013042483,-0.06502939,0.06343641,-0.100225836,0.074001744,-0.06194769,-0.1001033,0.0480096,0.0519384,-0.11507201,0.06972099,-0.13637973,0.050919272,-0.02969694,0.13899308,-0.022486422
Mongolian Restaurant,-0.015750857,0.02682854,-0.01928505,0.00075783,0.07834843,0.04909441,-0.0831359,-0.030595576,-0.027528532,0.008294458,0.0275315,-0.0590164,-0.020250637,0.009707296,-0.0018306253,0.02543576,-0.061965708,-0.04675751,0.065319374,0.015665479,0.12031554,0.06604156,-0.02682263,0.068296686,-0.018571865,0.038151942,0.028718693,0.051637243,0.040416855,0.003286969,-0.0028927196,-0.037938517,0.024684299,0.021090146,-0.04937936,-0.0092330985,0.036468975,-0.021412682,0.046332672,0.057189263,0.00062411674,0.024254644,-0.034983873,0.033245064,0.102264315,0.057655722,0.0014952673,0.017389737,-0.010955714,0.01350899,-0.036733128,-0.053181767,0.024593456,-0.020715803,-0.040916026,0.0020235507,0.007674006,-0.07605306,-0.045052823,-0.00896228,0.06417555,-0.04985641,-0.100677446,0.073861524,-0.0107127335,-0.034314632,0.08242135,0.0418585,0.0140577,0.020836197,0.053673554,0.057974424,0.08035662,-0.012079105,-0.034278102,-0.108914666,0.10755189,-0.07305981,0.12466832,0.059244588
Art Museum,0.079946235,0.0149269495,0.06132803,0.05091726,-0.014721453,-0.11223339,0.122314006,0.050450567,-0.01226585,0.016808221,-0.066425204,0.035507813,0.030909738,0.0068883337,0.020642914,0.01436954,0.12068567,-0.1162571,0.03428182,-0.15113151,0.04184596,0.07045144,0.08623346,0.0010377336,0.033699915,0.039001808,-0.03680007,0.08200015,-0.004542917,0.079108536,-0.053433686,-0.034713518,-0.09983757,0.062090993,0.138772,-0.015863389,-0.04243987,-0.058737636,-0.04442698,-0.049824275,-0.04242939,0.12200322,0.03253769,0.17091243,-0.006424982,-0.16127664,0.010859413,0.055954218,-0.06319058,0.04903944,0.09353881,0.027780088,-0.061081745,-0.06191052,0.038599543,-0.030311143,0.024244223,0.09670165,-0.1411936,0.027606547,0.008956983,0.021070093,-0.032422304,-0.09454797,-0.12921816,0.050242882,-0.03781248,-0.043854937,-0.010667704,-0.054683752,0.05565214,0.06648541,0.10158408,-0.04406016,-0.098565936,0.034473665,0.13623804,0.05403328,-0.16442375,-0.08073634
Professional & Other Places,0.081024274,-0.1184367,0.061190613,0.10049699,0.037425734,-0.06939424,-0.02520016,0.044074874,-0.02178544,-0.019103842,-0.02173447,-0.017006584,0.06771601,-0.01881214,0.06798834,-0.06198316,-0.05914894,-0.016247375,-0.15984537,-0.018259,0.00089232577,-0.07624043,-0.06650234,0.009051239,0.07247455,-0.11527677,0.07126754,-0.05527875,0.21473265,-0.08012614,-0.083045036,0.090164766,0.11518236,0.002241025,-0.07635324,0.04961483,-0.09422436,0.1759713,0.062553026,0.042301398,0.06260109,-0.03374498,-0.07892074,-0.064100765,0.015739668,-0.045064557,0.051193595,-0.11840083,-0.046329856,-0.0033059467,0.023756634,0.009070781,-0.072267696,0.06855784,0.11254907,-0.03668101,0.08538744,-0.009516536,-0.079629846,0.002811176,-0.0049101007,0.015962187,0.037200086,0.035853952,0.06821155,-0.011940904,-0.022067057,-0.07259455,-0.03408345,0.068748176,-0.11443258,-0.009515291,-0.020448616,0.0597365,-0.038829528,-0.031317275,0.019469585,0.039845385,-0.048231106,-0.03706174
Football Stadium,-0.028636359,-0.011106328,-0.03264924,-0.047548022,0.02485097,-0.035891168,0.14921951,0.082002334,-0.1393196,-0.18113935,0.036359712,-0.002365552,-0.0398815,-0.009842657,0.087148145,0.05691368,-0.064210616,0.1318429,0.021232132,-0.0950508,0.13814937,0.01889398,-0.0014438964,-0.0054704025,0.052162543,-0.020317517,0.09763723,-0.045549244,-0.05553612,-0.04242449,0.08744432,0.07771582,-0.13514331,0.04708503,0.028401464,-0.030648673,-0.093789265,-0.13902839,-0.11182104,-0.018933332,-0.048662633,0.031651296,0.052664354,0.051428214,-0.0400721,-0.121475786,-0.089977734,0.1510526,0.014315026,0.0546816,-0.05349981,-0.035081014,-0.08221158,-0.05920479,0.13609204,0.0012627468,0.04563543,-0.017150555,-0.00887333,-0.10956864,0.05992745,0.085065514,0.0071648955,-0.032266926,-0.03118014,0.08967302,-0.016003348,-0.041075803,0.019424971,-0.018643193,-0.023208,0.05739279,0.09967826,0.1000228,-0.100534335,0.011818202,0.090907015,0.021420708,-0.023593228,3.124401e-05
Smoke Shop,0.090179615,0.02790043,-0.018631132,0.02732287,0.061963797,0.020318447,-0.026855506,-0.07705081,0.08221144,-0.12649697,0.041231915,-0.014592633,-0.119218536,0.02136483,-0.05390197,-0.041942958,-0.007856465,0.0076337284,0.020869648,-0.08705421,-0.012730764,0.061196737,0.065552935,-0.034981776,-0.080615446,0.018565496,0.10650519,0.060101964,0.03500063,0.0699814,-0.10557213,-0.018218089,-0.0009448081,0.009697624,0.05546843,-0.021076772,-0.025968313,0.14800422,0.08643912,-0.15536281,0.052421786,-0.01957784,-0.014642528,0.052155923,0.049757585,-0.085854284,-0.06159311,0.019318264,0.08117614,0.029844033,-0.059797786,0.020974865,0.019409942,-0.0013219379,-0.05696683,-0.08609139,0.09786336,0.009769278,0.114039436,-0.06478497,0.008864924,-0.22260347,0.056653466,0.01204847,0.050080307,0.10059242,0.04767958,-0.04155497,-0.008032113,-0.059573792,0.042207204,0.069349974,0.015369985,-0.0824448,-0.017492525,0.045416355,-0.008991528,-0.12614,-0.24996048,-0.006783398
College Arts Building,0.018665973,0.0299983,-0.0014700852,-0.060143176,-0.07129661,-0.09249873,0.07143632,0.033863768,-0.0031679831,-0.03266651,-0.0009562832,-0.017017487,0.0626602,-0.07126974,-0.012647111,-0.12125982,0.06877773,-0.02048336,-0.068521336,-0.074615166,-0.07146683,0.015469538,0.042628706,0.032493778,0.08028543,-0.0321103,-0.053342525,0.12152168,0.043406114,0.011491591,-0.051711407,0.083541706,0.006871406,0.048298724,-0.061526973,0.02559222,-0.10104886,-0.026761064,-0.0011995137,-0.06923875,0.013516508,0.009113498,-0.14795388,-0.06855348,-0.10471282,-0.07613454,-0.06043563,0.055386424,-0.056600057,-0.004013692,-0.057358734,0.0242122,0.021235514,-0.103595585,0.0722345,-0.1325642,0.0648714,0.003424894,0.04569059,-0.109376416,0.033001646,-0.10146851,-0.124427855,-0.12475498,0.018224472,0.06349714,0.04836243,-0.0055682557,-0.022623293,0.055574127,0.04043047,0.096092544,0.053335447,-0.034382116,0.055917226,-0.03222277,0.0882324,0.03366624,-0.04838436,-0.014882557
Building,0.15365338,-0.056593556,0.07304612,0.074815355,0.0013402048,-0.047103997,-0.023985356,0.011979992,-0.06722378,-0.11526334,-0.0033895196,-0.04706052,0.040169068,0.019317426,0.044419974,-0.03751104,0.03497062,-0.01989764,-0.08411239,0.0066667115,-0.036589723,-0.09003545,-0.0715151,-0.013837773,0.088911325,-0.0639148,0.06828596,-0.0488619,0.10554732,-0.019814786,-0.017048819,0.10711853,0.09765542,-0.025717543,0.013767701,0.053285908,-0.096711546,0.04928132,0.074433655,-0.0036256444,0.018963493,-0.0066043,-0.09956212,-0.13340446,-0.08204069,-0.056055356,0.076269865,-0.010197662,0.00751549,-0.004173237,0.07283851,-0.015376997,0.021335397,0.10707851,0.12163739,0.010532355,0.04656675,-0.015203981,-7.350743e-05,-0.04197444,-0.017897278,0.0986172,0.00867904,-0.050467048,-0.022193171,-0.0421673,-0.032027572,-0.052899655,0.023951096,0.12743483,-0.07219658,-0.020395445,0.026042992,0.09807002,-0.045181703,0.018297395,0.0040219086,0.048738092,-0.048309457,-0.05892647
African Restaurant,0.00091174245,0.080974326,-0.02760155,-0.026043525,0.052559175,0.018507825,-0.06637029,0.027338922,0.0937209,-0.011020789,0.021275109,-0.030466456,0.1163667,-0.05333696,-0.09149633,-0.024938494,-0.05370351,-0.097447604,-0.011808838,-0.028376985,0.05933684,0.05143193,9.0862624e-05,0.0114293285,-0.018992696,0.017111905,0.07656075,0.07725833,0.06861852,0.011074681,-0.010630573,0.013088154,0.062464703,0.040357463,-0.06644274,-0.077905625,-0.000333976,0.066970505,0.04268396,-0.011350494,0.011485439,-0.0023739692,-0.042349674,0.0016981363,0.15169983,0.05727341,-0.0026046727,-0.09601134,-0.014578587,0.0090464465,-0.016834494,0.0210667,-0.05890747,-0.055754866,-0.13604386,-0.0059097037,0.06388894,-0.09673247,0.003025405,0.012930168,0.100330584,0.008758483,-0.06553703,0.051603157,0.06485104,-0.0685462,0.050095044,0.00037483498,0.020652253,0.002030057,0.05077972,0.11708458,0.04562067,-0.012080539,0.037623674,-0.080194496,0.08597857,-0.064402655,0.13709956,0.05837521
