College Quad,0.054306354,0.044158272,-0.03718184,0.05402419,0.051623147,-0.058500744,-0.13392434,0.025874764,-0.015327768,-0.04481603,-0.035269182,0.08397946,-0.029268395,-0.034241024,-0.012677808,-0.016150054,-0.08107659,-0.017278865,0.021171212,0.0635861,0.040211786,-0.12888686,0.031397514,-0.004806487,0.05501263,-0.06478606,0.049577486,0.007227989,-0.027195625,0.036149476,-0.004478586,-0.022138124,0.021402944,-0.058720518,0.03728143,0.017905008,-0.01446631,-0.030811502,0.05011894,-0.0844025,-0.0767439,-0.03931144,0.015497313,0.008205155,0.03129172,0.015369881,-0.0036834516,0.0035602306,0.03575628,0.042891942
Mediterranean Restaurant,-0.015808012,0.0039816108,0.008051179,0.023564078,-0.060894165,-0.007238334,0.12963215,-0.05132999,0.005098261,0.07855195,0.014687652,-0.042741828,0.030780852,0.07906479,-0.040402114,0.03109677,0.007663506,0.037237145,0.12479475,0.0100431945,-0.062215284,0.008715346,0.04472612,-0.018588437,-0.04139246,-0.04997072,0.03232193,-0.0033991858,0.0996096,-0.034576595,-0.018320583,-0.025428174,-0.0032498054,0.03405408,0.015028106,-0.027600303,-0.07223887,-0.021696454,-0.023597546,0.104793824,0.01619309,-0.031308122,-0.08734364,-0.021574825,-0.005832595,-0.06722215,-0.027445663,0.036525108,0.049324363,-0.017256001
Art Museum,0.11292724,-0.054395966,0.0012196122,-0.020395555,0.043158785,-0.031449366,0.015392516,0.039410807,-0.049192674,0.022089927,0.084557004,0.05086164,0.08106253,0.031365532,-0.0032016477,0.009325158,0.027692616,-0.019497316,-0.054432005,0.0042248657,0.039950684,-0.01927488,-0.06844387,-0.022794984,0.053071238,-0.006623082,0.018626245,-0.0021038698,-0.016863424,-0.008310579,0.0060162675,-0.08836965,-0.056441665,-0.024809822,0.001154969,-0.013001759,0.052433826,-0.06315765,-0.043662183,-0.058539394,-0.012295795,-0.021294996,-0.043546706,0.024355961,-0.024610493,-0.047833677,0.036669634,0.01881171,0.061161034,0.04977941
Professional & Other Places,0.016795395,-0.028601227,0.019118521,-0.021350218,0.021444362,0.04592321,-0.0091690635,0.038205545,0.044007435,-0.035380762,-0.0068708705,-0.057683796,-0.09694355,-0.015384974,0.06847336,0.0633926,-0.030463077,0.036767825,-0.030081486,0.069730535,-0.00034085786,-0.02091237,-0.03080103,-0.030291954,0.051934566,0.03502783,0.011315765,0.118384235,-0.04972801,-0.055856746,-0.039596323,0.07063107,-0.009898709,0.01474143,0.015314189,-0.06071395,-0.011689695,0.049415357,0.058129102,0.0507954,-0.003425735,0.06753632,0.018830484,0.034206536,-0.04552771,0.06288319,0.04441794,0.040648457,0.024093043,-0.025218202
Football Stadium,0.078515045,0.07229507,-0.021545574,-0.0021113825,0.031089384,-0.065918565,0.04993832,0.011384941,-0.03391921,0.0068659503,0.0043659844,-0.0006085299,0.013120269,-0.018539596,0.020288778,-0.051942296,-0.0028950237,-0.0459873,0.03547205,-0.015226413,0.03547951,-0.07856881,0.0015047081,0.046423893,0.030692982,0.027660154,-0.023904044,-0.0516563,-0.011148538,-0.007594254,0.07066717,0.011927395,-0.03875549,-0.09552243,-0.01766967,0.03563851,-0.03148829,-0.07819748,0.013532301,-0.012171662,-0.10049051,-0.037193578,0.090781346,0.020917917,0.066009395,-0.021259708,0.0031835083,0.040201113,-0.01500765,0.08718896
Smoke Shop,0.0119554335,-0.06073731,-0.034473762,-0.008130323,0.000873826,0.019663965,-0.027352199,-0.0048758993,-0.019329535,-0.0554069,-0.04601664,0.08907677,-0.023279723,-0.042527143,-0.0017848797,0.0044072084,0.11011066,-0.040062815,-0.02690315,0.060241356,0.10855017,-0.033819817,-0.0342659,-0.037616327,0.02205469,0.07878022,0.0042060874,0.039481934,0.00069462135,0.06612066,0.006101681,0.006364314,0.019243632,0.03785878,0.01604838,0.046476606,-0.057931717,-0.013955142,0.017826455,0.018044788,-0.05377222,-0.015718551,0.030522984,-0.058991194,-0.050507262,0.019055624,-0.009836018,0.010240752,0.017753575,0.02775519
College Arts Building,0.043317,0.009951293,0.05254281,0.064212956,-0.041395277,0.006323524,-0.016197573,-0.03635482,0.053980056,-0.013047076,-0.010325214,0.041762233,0.0048169135,-0.04777987,-0.089675374,-0.0075930236,-0.016474765,-0.0032949178,0.08850661,0.009354209,-0.02060023,-0.05022481,0.03921298,0.056817822,0.02222066,-0.012908016,0.031081911,0.02200959,0.021659702,0.058646914,0.009401921,0.05605885,0.040975522,-0.058921658,0.05792126,-0.023402011,-0.05891805,0.00056025013,0.038105547,0.004132351,-0.035377946,-0.020253226,0.020468675,0.019733,0.020048525,0.011932679,-0.037847783,0.036118712,0.06140104,-0.028679797
Building,-0.03536427,-0.04253669,-0.023599323,-0.004545712,-0.0031733178,0.020743804,0.0033003124,-0.033417225,0.04587772,-0.07905148,0.0034204286,0.03319805,-0.097435534,0.027012598,0.054764204,0.0839207,0.0023872023,0.027611641,-0.07739593,0.06373195,-0.00929623,0.018171025,-0.030343391,-0.037192844,0.014811181,0.04403492,0.001788819,0.10344007,-0.038870525,-0.0072128344,-0.062434282,0.052089237,-0.02423603,0.02255592,-0.06155529,-0.03559487,-0.032555927,0.05981583,0.05389923,-0.028275149,0.020819476,0.029635385,0.006105315,0.015267789,-0.05946377,0.041426852,0.017333394,-0.023604663,0.01860542,0.002416459
College Rec Center,0.05803895,-0.034299273,0.009658586,0.055943105,-0.012743841,-0.023975275,-0.021808801,-0.034700744,0.024930054,-0.0399269,0.012595404,0.040736202,-0.061918102,0.04517106,-0.044861354,-0.036703132,-0.051295117,0.039325044,0.0014264509,0.08331825,-0.06729066,-0.05909335,0.0387419,-0.020646334,0.04248684,-0.08004423,0.1296817,0.04191544,-0.014884513,0.067163974,-0.08437974,0.00024885125,0.013312008,-0.049976572,0.04547545,-0.036124624,0.016631965,-0.019239238,-0.010201795,-0.057222277,-0.043602075,-0.0062144883,0.015871678,0.06295751,0.012336108,-0.024278302,0.041985728,0.04314637,0.057220943,-0.031636216
Paper / Office Supplies Store,0.05373403,-0.12438561,0.033615343,-0.12222296,0.009167736,0.032762595,0.08978716,-0.009937977,-0.03177889,-0.010210918,0.02693738,0.035070375,0.012945764,0.06745562,-0.0668129,-0.07888295,0.0279776,-0.035105623,-0.0073326584,0.12687793,-0.0025040451,0.023684185,-0.017457515,0.0035064872,-0.023680463,-0.07452758,-0.048054993,0.021984747,0.06464706,0.08269648,0.011099989,-0.026407106,0.03906932,0.060368225,0.030670643,0.04152887,-0.10423701,-0.016161242,0.070463546,-0.009292321,0.02475765,-0.05319195,-0.028074214,-0.037234224,0.0018878542,-0.0071203476,0.05647712,0.045825813,-0.010858628,-0.033134215
Martial Arts Dojo,0.02770902,-0.0062444713,0.0076719187,0.060040317,0.021571124,0.003470113,0.046670184,0.03696116,0.013237516,0.02415438,-0.040334262,-0.074885994,-0.0038586543,0.028652452,0.026079915,-0.015652832,0.026334004,0.016608443,0.026040087,0.02646029,-0.0122232335,-0.048761394,0.026438508,-0.012112467,-0.05596362,-0.0063691437,0.0021598502,-0.00110857,0.002740698,-0.008732806,0.006670177,-0.0065193996,0.0063191364,0.017670376,0.006057197,0.005944051,0.009953457,0.011297475,-0.021589201,0.037626743,-0.036901563,-0.018255774,0.002437698,-0.044919975,-0.006343582,-0.024603758,-0.037430212,0.02678874,-0.009229559,0.010578025
