College Quad,-0.05104018,-0.054826066,0.011433125,0.045334954,-0.0053552035,-0.025819039,0.015955897,-0.018955559,-0.024912048,0.07279232,0.031768274,0.07854107,-0.046049703,-0.044495504,-0.025871273,-0.03150764,-0.005985327,-0.02760698,0.04372041,-0.04125504,0.006399356,-0.03970923,0.0002070493,-0.031722225,-0.054027423,-0.05216468,-0.050685663,0.14451504,0.038127735,-0.079068504,0.046015188,-0.09876098,0.026549991,-0.03417779,-0.009234962,0.029197011,-0.09026606,-0.01014588,-0.009716485,-0.021177115
Mediterranean Restaurant,-0.03258996,-0.019830355,-0.0097179795,0.0022270363,0.028161537,0.023034032,-0.03703498,0.091558136,0.039858207,-0.010297852,-0.08242922,0.020007621,-0.008283183,0.0003899578,0.03465148,0.0337487,-0.13980731,-0.054228056,0.07163967,0.054111604,-0.029781569,0.046161618,-0.027395621,-0.045837723,-0.040889032,0.017642591,-0.14423993,-0.0047955066,-0.06766241,-0.028437966,-0.048228204,0.06073062,-0.006244546,-0.011094188,0.014511385,-0.030509187,-0.002561172,0.005584037,-0.007943795,-0.0010234676
Art Museum,0.07595524,-0.053669427,-0.015585223,-0.035305843,0.04904461,0.05596094,0.10290537,0.074621245,0.035762645,0.0006458699,-0.009152135,0.006294635,0.13532479,-0.033779558,0.0026600566,-0.06435622,0.006032846,0.05273409,-0.013558359,-0.0042746626,-0.0030732602,-0.020547606,0.011963474,0.032262962,0.03939885,-0.07326858,-0.06908067,0.02036297,-0.023284536,-0.081738286,0.04880964,-0.00985741,0.06272565,0.01609949,0.012165243,0.047509164,0.051892634,0.022136044,0.0055439062,0.0304646
Professional & Other Places,0.039455205,-0.008289292,-0.011178128,-0.10788211,0.07266451,0.015314793,0.061938044,0.03249387,-0.03911734,0.038242888,0.003734904,0.04615803,0.019897645,-0.028349241,0.012417438,-0.0015277845,-0.0815465,-0.056564428,-0.008774725,0.044139955,-0.06619035,-0.03970353,0.001599282,-0.09461405,0.048598573,0.0074433875,0.0030089908,0.034466658,-0.011559816,-0.02558411,-0.055090334,0.01754682,-0.06716805,-0.020723313,0.04880343,0.02350694,-0.007970447,0.086108334,-0.021810729,0.028560892
Football Stadium,0.0052672103,-0.010046652,0.019528028,-0.05412151,-0.003972523,0.06371162,0.045805193,-0.03257018,0.027111819,-0.00010801479,-0.07106055,0.01475472,-0.015712917,0.03551721,0.0037440304,-0.021190383,-0.03046408,0.01328681,0.0762551,0.023189075,0.024594923,0.015827525,0.038289867,0.004861516,0.012731964,-0.014795911,-0.11037388,0.037333976,0.022752013,-0.076309085,0.008423755,-0.0041291793,0.06697157,-0.03674471,-9.174459e-06,0.0410277,0.021142103,0.048617616,0.039071802,0.046345513
Smoke Shop,0.06668089,0.01898584,0.09413777,-0.03602735,0.0186119,0.028924972,-0.045162596,-0.030068628,-0.056859568,0.0539618,-0.06514819,0.0057203807,0.04130288,-0.04504564,-0.14958093,-0.01164975,-0.09601814,-0.028012207,0.033102334,0.013134294,0.0080326535,-0.046180476,-0.0037108324,-0.009386707,0.027429497,0.012222278,-0.0011620405,-0.05094005,-0.030464582,-0.030131228,-0.01646974,0.01787752,-0.023661342,-0.007698981,0.068010405,-0.016871871,0.038403127,0.07717736,0.06527959,0.017781941
College Arts Building,-0.022675939,-0.042439684,-0.024073882,0.0814825,-0.016886681,-0.034951486,-0.030301906,-0.0012583607,-0.0015758015,0.020008376,-0.027869726,0.07342602,-0.058438744,-0.0151585825,-0.064298905,-0.02463632,0.012350583,-0.016943732,0.02885503,-0.04216718,-0.018440912,-0.04826515,-0.033979136,-0.047121055,0.0014417749,-0.04152363,-0.034899823,0.1305583,-0.0026254188,-0.11439683,-0.008589014,-0.008561403,0.011387551,-0.0049145008,0.026251635,0.041131437,-0.075687245,0.0034780297,0.017837413,0.009305263
Building,0.040374547,0.030535985,0.012842847,-0.079604685,0.076432526,0.008361872,0.007206021,-0.053279992,-0.07454634,0.025188776,0.041969467,0.033834346,0.07568899,-0.02362425,-0.007657333,0.013363242,-0.041075736,-0.0026490204,-0.048874114,0.061767384,-0.087783575,-0.02727609,-0.014465174,-0.0913994,0.06232109,0.022150934,0.05465388,0.015170804,-0.041798577,0.008227952,-0.022035351,-0.04319395,-0.069886714,0.0006600516,0.06285249,0.035596497,-0.0038732707,0.039037306,-0.020454422,0.018680384
College Rec Center,-0.05227231,-0.008123609,0.005050146,0.035671093,-0.006838206,0.032418404,-0.0040946864,0.025796153,0.038257834,-0.009296007,-0.01856668,0.052087262,-0.070533626,-0.021015907,-0.030747643,-0.03540257,-0.055843156,-0.09250632,0.08343704,0.011725597,-0.015412,0.0074670836,-0.02474871,-6.523542e-05,-0.09038066,0.012657508,-0.08703208,0.05132077,0.010624968,-0.044222265,0.057315785,-0.09975341,0.016821705,0.024590988,0.03823074,-0.0013749544,-0.09454848,-0.015814146,-0.033583686,-0.01693434
Paper / Office Supplies Store,0.03405037,0.028497884,0.1001458,-0.016223472,0.0054118093,0.10802664,-0.109699845,0.0023307372,0.109870404,0.041630935,-0.14373079,0.007763122,0.011426166,0.028759828,-0.018243928,-0.032116253,-0.07575573,-0.02906749,0.019028392,0.025441958,-0.042738475,-0.06154544,-0.027340503,0.034596324,-0.0604963,0.058661174,-0.043501306,-0.053690545,-0.01945918,-0.06625594,0.014760058,0.0423284,-0.02705932,0.032264266,0.10187274,0.023236195,-0.005541253,-0.017812878,-0.019936895,0.044340216
Martial Arts Dojo,-0.0072338246,-0.06868586,0.013256948,-0.024269994,0.020574287,0.0006357748,0.03774938,0.008073159,0.026216168,0.017353699,-0.018725984,-0.024172079,-0.0028156396,0.041468773,0.028909529,-0.028865695,-0.009467572,0.053902134,0.00086750276,-0.01234813,0.0006010495,0.010622105,0.0429376,-0.005299477,-0.03519047,-0.01375286,-0.08226482,0.06412204,-0.05349753,0.005637302,-0.0007552635,0.0076362146,0.038295377,-0.015393114,0.015944837,0.020384105,0.06368984,0.05722894,0.024837723,-0.009186821
Surf Spot,-0.04024829,-0.06680132,0.004567975,-0.025065467,0.03785422,0.016453695,-0.011802925,0.021492247,0.0477791,0.00501873,-0.042454712,0.021730937,-0.061314724,0.0020437017,0.06355763,0.01511033,-0.04333912,-0.048905473,0.073724434,0.039596546,-0.036714055,0.02595301,0.025429986,-0.050027966,-0.069989674,0.027515966,-0.09530621,0.039364114,0.0067547597,-0.0036814678,0.022492778,0.043122813,0.038709994,-0.0315335,0.030341974,0.010664605,-0.0023384616,0.01937026,0.0438361,-0.018757034
Multiplex,0.09235713,-0.039209966,-0.050590724,-0.010477055,0.04456567,-0.009164275,0.09656884,0.027068606,0.048038006,-0.045821063,-0.044910207,-0.0435268,0.06672215,-0.005005109,0.040143233,-0.07526089,0.011491019,0.019951738,-0.049358778,0.015538012,-0.010356079,-0.055942904,0.025093071,-0.0036101225,0.023029424,-0.04416641,-0.028965525,0.0039379597,-0.017302737,-0.009930957,0.019164355,-0.0056497315,0.05739282,0.05856335,0.056452047,-0.0029623327,0.079827905,0.015131433,0.027513003,0.019145103
