College Quad,-0.10016818,0.013853068,-0.017658183,0.046442155,-0.07978588,0.031747364,-0.0090294015,0.247037,-0.04078755,0.0931294,-0.10920167,-0.021548746,0.068784684,-0.087025665,-0.06200352,-0.09063484,-0.00090133026,-0.06929897,-0.1945327,0.0071535558,0.0021969592,-0.007358324,-0.021144068,0.0044783223,-0.04713379,0.03891567,-0.010214523,0.026126523,0.03573699,-0.06394377
Mediterranean Restaurant,-0.04395392,-0.047662836,-0.04754391,0.08665733,-0.067623705,0.13629873,0.10139549,0.09693546,0.051497404,0.09321459,-0.050437108,-0.07616123,0.005361855,0.066591345,-0.074402966,0.052435536,-0.01954529,-0.03147699,0.031223232,-0.035280406,0.055492,-0.09408742,-0.015991047,0.06777351,0.07503355,0.19443917,-0.02942489,-0.14567542,0.06018531,-0.12063305
Mongolian Restaurant,0.08459354,0.0009839013,0.111253545,-0.06694107,-0.07301015,-0.016400456,0.05174394,0.032612327,0.074991316,0.074096635,0.075431265,0.021658957,-0.11226092,0.055516966,-0.051095854,0.091202505,-0.030957608,-0.09516196,0.02876854,-0.07013317,0.02492937,-0.036526762,0.00032361597,-0.037755452,0.027397314,0.031543728,-0.061454874,-0.041666325,0.0672337,0.027754221
Art Museum,-0.15579434,-0.0745556,-0.0027148295,-0.034711935,-0.1051855,-0.005272981,-0.041163944,-0.11917805,-0.029149536,0.08895138,-0.099445835,0.038950004,0.09683491,0.00790657,-0.052106246,-0.031804804,0.06653749,0.02234522,-0.12698816,-0.061436426,-0.033649065,0.15194501,-0.07261715,-0.007984053,0.093543515,-0.013964598,0.070939735,-0.047038134,0.12225207,-0.0069366777
Professional & Other Places,0.10242159,-0.028415801,-0.010975583,-0.011088637,0.053515535,-0.04247543,0.03999509,-0.03327858,-0.090252064,0.0206691,0.07967606,-0.036377575,0.13936694,0.05569473,-0.001874776,-0.04140367,0.08371644,0.048035413,0.031660587,0.05168103,0.14950457,0.016084764,-0.08854157,0.13141732,0.027765121,0.12662642,-0.017071076,-0.01673737,0.04029061,-0.085602395
Football Stadium,-0.16215664,0.010556702,-0.042044297,0.0020185765,-0.06068386,0.044124726,-0.056291997,-0.06253966,-0.014015758,0.023385987,-0.13321725,0.08403592,0.0017667692,-0.038875222,-0.0036190944,-0.0075672995,0.045640558,0.041796997,-0.009334935,-0.020630054,-0.029655166,0.15219472,0.044026542,-0.04327637,-0.06570736,-0.038312692,0.120116144,0.004765558,0.06583568,-0.03662425
Smoke Shop,0.040613677,-0.0635421,-0.0792386,-0.03561825,-0.049324926,0.028206121,-0.03580346,-0.07136718,0.04404211,0.043214995,0.0367017,0.026356814,0.079532415,0.07141973,0.15547498,-0.11869037,0.054674983,0.028613102,0.03380604,-0.06734504,0.013287067,0.03866305,-0.12543665,-0.18801966,0.03247722,-0.076805584,0.10655124,-0.119538486,0.044419132,-0.2128816
College Arts Building,0.011020808,0.022191072,-0.017974136,0.032778993,-0.026713064,-0.0033706985,0.00075555407,0.15063268,-0.08570418,0.17425501,-0.033940967,-0.055462707,0.022914404,-0.093948625,0.016451769,-0.12465055,-0.033516355,0.00032498688,-0.18101323,0.003986843,-0.047251575,-0.036918912,-0.059151407,0.07374729,0.015137231,0.025538635,-0.06459698,0.04016123,-0.033865485,0.034047507
Building,0.033574075,0.010630012,-0.04623969,-0.0066870647,0.06911142,-0.037620302,0.03986223,-0.034582466,-0.098799676,0.0081312135,0.045735274,-0.0027772076,0.11135253,-0.027454302,-0.012496911,-0.109077975,0.13415247,0.01820922,0.039597865,0.14140731,0.0729934,0.070608,-0.049414005,0.10662813,-0.010883334,0.0845322,-0.0012002434,0.004159419,-0.0040616803,-0.026908107
African Restaurant,-0.094819106,-0.032529496,-0.050098296,0.06743591,-0.1668321,0.09215017,0.05384939,0.0381205,0.12844308,0.0231012,-0.09525775,-0.0773033,0.00029875338,0.11728021,-0.007141821,0.073967405,-0.041421216,-0.037494533,0.0690566,0.025908664,-0.051909003,-0.0193584,-0.012612514,-0.030430574,0.047392275,0.061467305,-0.01836047,0.030479357,0.091511525,-0.044127624
College Rec Center,-0.076826006,0.005762198,-0.037780657,0.045017574,-0.123247616,0.0072230026,-0.0026696306,0.120479524,-0.02401617,0.1591196,-0.11931509,-0.033825453,0.08183187,-0.07582834,-0.025230862,-0.111907214,0.017416358,-0.07042489,-0.22643541,0.031450853,0.021774968,0.016007114,-0.060000926,0.04579871,0.048083246,0.097745344,-0.03293614,0.015774917,0.073850416,0.008531291
Paper / Office Supplies Store,0.08505241,-0.06508875,0.041125935,-0.027314281,-0.048004296,0.05540175,0.070021994,-0.052857246,-0.03680186,-0.010170378,0.038649444,0.10678895,-0.04228948,0.09229149,0.063980475,0.010049466,-0.0120987,-0.07224429,0.1554714,-0.08609742,-0.019051982,-0.03058248,-0.0035021883,-0.19749579,-0.037879184,-0.09733425,0.09994598,-0.16163202,-0.023547353,-0.2094716
Martial Arts Dojo,0.023391474,-0.05424783,0.017877026,0.039744765,0.009897094,-0.049084004,-0.039717913,-0.07086612,0.007588339,-0.039895922,-0.0070292987,0.038681567,0.07803393,0.024460757,0.044030342,0.011168316,-0.12755576,-0.03887271,-0.084033504,0.0297115,-0.093108095,0.013098361,-0.039502956,-0.04255733,0.09893652,-0.06532274,-0.008965838,0.0018002503,0.033375155,0.06676213
Surf Spot,0.018600577,-0.07972305,0.1760743,0.035725035,-0.034532726,-0.01702264,-0.026860615,-0.03917871,-0.10588836,0.064443424,-0.024469486,-0.0032950118,-0.017371621,0.06830078,0.024146026,-0.0033516875,-0.04596167,-0.14247727,0.0026038922,0.03846424,-0.03795637,-0.094098985,0.019760171,-0.029278304,0.074724555,-0.0033254912,-0.0533085,-0.047746588,0.032215465,0.058367424
